Ticker,Industry,Revenue,PostTaxProfit,Debt,Asset,Equity
SSI,1,1680,567,28143,50136,21994
VND,1,1604,429,26970,42050,15080
VCI,1,501,117,7150,14520,7370
SHS,1,308,141,944,10771,9828
HCM,1,588,157,6381,14300,7919
VIX,1,688,566,113,8552,8439
FTS,1,260,140,2775,6193,3418
MBS,1,401,124,6062,10761,4699
BSI,1,316,124,3512,8080,4568
VHM,2,32614,9749,221148,391331,170183
VIC,2,47295,400,461475,599177,137703
BCM,2,1094,-26,30882,48683,17801
VRE,2,2173,1001,8751,44194,35443
NVL,2,1054,-684,213097,256820,43723
KBC,2,2328,1012,13720,33765,20044
KDH,2,582,256,9504,22970,13466
SSH,2,1005,454,8206,13472,5265
DIG,2,162,9,6172,14047,7875
NLG,2,953,231,13698,26849,13151
DXG,2,714,157,16372,30498,14126
BIC,3,895,129,4987,7523,2537
PVI,3,1546,326,19992,28391,8400
BMI,3,1191,74,4410,6896,2486
MIG,3,934,60,6869,8798,1929
BVH,3,9891,422,198621,220768,22146
POW,4,8429,181,28065,61896,33831
PGV,4,15353,1103,45895,65053,19159
DNH,4,472,235,1920,7562,5642
VSH,4,657,262,4895,9943,5048
NT2,4,2183,144,4493,9166,4673
DTK,4,2965,175,8594,16760,8166
HND,4,3366,331,1833,8195,6363
QTP,4,3708,248,2440,7850,5410
SBH,4,126,29,82,2259,2176
GAS,4,24043,3196,20796,88247,67451
GEG,4,480,7,10618,16329,5712
MBB,5,9481,4982,720168,806238,86069
VCB,5,14021,7428,1552272,1704273,152001
BID,5,13547,5550,2010616,2124768,114152
CTG,5,12757,5264,1742044,1860105,118060
VPB,5,8762,2452,632198,739762,107564
TCB,5,6295,4503,610005,732470,122465
ACB,5,6246,3866,568026,630893,62867
SSB,5,1508,754,217484,245206,27722
STB,5,5751,1925,580385,622178,41793
VIB,5,4402,2358,344753,378663,33910
HDB,5,4955,2180,443459,483936,40477
SHB,5,4108,1951,537656,585270,47614
TPB,5,2729,1293,312421,343407,30986
LPB,5,2450,708,324746,350243,25497
EIB,5,1094,423,168879,190301,21422
HPG,6,29496,1448,78383,176243,97860
HSG,6,8646,14,6160,16527,10367
NKG,6,5500,125,6797,12179,5382
TVN,6,6737,-349,13736,23292,9556
DHC,6,801,92,1038,2879,1841
TNA,6,1579,2,2172,2764,593
GVR,7,4158,704,22490,76664,54175
AAA,7,2791,50,4886,11230,6344
DPR,7,146,36,1222,4242,3019
BRR,7,60,28,212,1528,1316
DGC,7,2414,879,2060,13765,11704
DCM,7,3291,313,4497,15599,11102
DPM,7,3707,105,2471,15158,12687
MSN,8,18609,429,103334,140858,37524
VNM,8,15195,2229,14309,50969,36660
MCH,8,6477,1660,12273,37766,25493
VSF,8,6867,9,6419,8840,2421
QNS,8,3152,712,4102,11832,7730
KDC,8,2307,715,5114,12870,7757
IDP,8,1755,234,2227,4222,1994
SBT,8,6800,77,19500,30009,10508
VJC,9,16605,-36,56352,71225,14873
HVN,9,20565,-1295,70757,59158,-11598
SCS,9,172,129,514,1804,1290
ACV,9,4929,2607,16583,63232,46650
MWG,10,29465,17,36136,59369,23232
FRT,10,7171,-215,7401,9178,1777
DGW,10,4596,87,4006,6560,2553
SAS,10,606,74,676,2126,1449
PET,10,4526,4,7694,9790,2096
AST,10,262,39,130,659,528
PLX,11,65750,892,51779,79712,27933
BSR,11,33669,1328,23409,75039,51631
OIL,11,22325,164,18684,30314,11630
PVS,11,4712,235,13925,27057,13133
FPT,12,12484,1856,31929,60524,28595
FOX,13,3892,632,13703,21807,8104
CTF,14,1586,4,2189,3124,935
SVC,14,4454,10,4037,6443,2406
HAX,14,797,3,460,1616,1155
PNJ,15,6663,338,4299,13493,9194
LIX,15,679,48,412,1200,788
NET,15,461,59,504,914,410
HTP,16,38,1,4225,6564,2339
IMP,17,440,80,580,2523,1943
DHG,17,1153,263,1298,5725,4427
DVN,17,1321,157,2746,5762,3016
DBD,17,414,74,527,1869,1341
TRA,17,517,79,434,1909,1475
DMC,17,400,48,371,1789,1418
C4G,18,617,34,5959,9648,3689
HUT,18,329,13,7784,11671,3887
VCG,18,4569,158,21369,31367,9998
SNZ,18,1364,370,12981,22892,9911
LGC,18,340,113,7249,12249,5000
CTR,18,2701,124,4455,6122,1667
PC1,18,1472,-21,12662,19732,7069
CC1,18,1236,11,10390,14435,4044
CII,18,843,83,18543,26649,8107
SJG,18,1275,230,14547,23560,9012
HHV,18,612,109,27517,36079,8562
GEX,19,7996,652,31035,52438,21403
GEE,19,3854,87,10320,16199,5878
TBD,19,358,3,690,1281,591
